,지번주소,adr_dong,번지,전용면적(㎡),총세대수,총동수,room,bath,traffic_label,학교시설,편의시설
82,경기도 고양시 사리현동 186 ,사리현동,186,82.65,577 ,8,3,2,1.0,4,5
83,경기도 고양시 사리현동 186 ,사리현동,186,82.65,577 ,8,3,2,1.0,4,5
84,경기도 고양시 사리현동 187,사리현동,187,69.42,377 ,5,3,2,0.0,0,0
85,경기도 고양시 사리현동 187,사리현동,187,82.65,377 ,5,3,2,0.0,0,0
86,경기도 고양시 사리현동 187,사리현동,187,82.65,377 ,5,3,2,0.0,0,0
87,경기도 고양시 사리현동 187,사리현동,187,82.65,377 ,5,3,2,0.0,0,0
88,경기도 고양시 사리현동 187,사리현동,187,82.65,377 ,5,3,2,0.0,0,0
89,경기도 고양시 사리현동 189 ,사리현동,189,82.65,266 ,5,3,2,1.0,3,2
90,경기도 고양시 사리현동 466-1 ,사리현동,466-1,38.51,380 ,5,2,1,1.0,3,4
91,경기도 고양시 삼송동 306 ,삼송동,306,109.09,598 ,10,4,2,2.0,2,1
92,경기도 고양시 성사동 494-29 ,성사동,494-29,46.28,105 ,2,2,1,2.0,3,1
93,경기도 고양시 원흥동 630 (삼송지구 주상복합용지 M1블록),원흥동,630,69.42,450 ,4,3,2,0.0,0,0
94,경기도 고양시 일산동 1978 ,일산동,1978,80.17,210 ,3,3,2,1.0,3,3
95,경기도 고양시 일산동 1978 ,일산동,1978,84.56,210 ,3,3,2,1.0,3,3
96,경기도 고양시 일산동 1979 ,일산동,1979,59.77,234 ,5,2,1,1.0,3,3
97,경기도 고양시 일산동 1979 ,일산동,1979,84.56,234 ,5,3,2,1.0,3,3
98,경기도 고양시 일산동 1979 ,일산동,1979,84.56,234 ,5,3,2,1.0,3,3
99,경기도 고양시 일산동 1670 ,일산동,1670,82.65,926 ,8,3,2,2.0,7,8
100,경기도 고양시 일산동 1670 ,일산동,1670,82.65,926 ,8,3,2,2.0,7,8
101,경기도 고양시 일산동 1686 ,일산동,1686,84.93,466 ,5,3,2,2.0,5,5
102,경기도 고양시 일산동 1686 ,일산동,1686,84.93,466 ,5,3,2,2.0,5,5
103,경기도 고양시 일산동 587-1 ,일산동,587-1,0,95 ,2,3,1,0.0,3,0
104,경기도 고양시 일산동 587-5 ,일산동,587-5,55.07,80 ,2,3,1,0.0,0,0
105,경기도 고양시 일산동 2041 ,일산동,2041,82.65,658 ,5,3,2,1.0,3,2
106,경기도 고양시 일산동 2041 ,일산동,2041,82.65,658 ,5,3,2,1.0,3,2
107,경기도 고양시 일산동 2041 ,일산동,2041,105.79,658 ,5,4,2,1.0,3,2
108,경기도 고양시 일산동 2041 ,일산동,2041,119.01,658 ,5,4,2,1.0,3,2
109,경기도 고양시 일산동 2019 ,일산동,2019,59.83,272 ,2,3,1,2.0,3,1
110,경기도 고양시 일산동 2019 ,일산동,2019,85.03,272 ,2,3,2,2.0,3,1
111,경기도 고양시 일산동 583-66 ,일산동,583-66,59.5,332 ,4,2,1,1.0,1,1
112,경기도 고양시 일산동 583-66 ,일산동,583-66,84.99,332 ,4,3,2,1.0,1,1
113,경기도 고양시 일산동 583-66 ,일산동,583-66,84.99,332 ,4,3,2,1.0,1,1
114,경기도 고양시 일산동 583-66 ,일산동,583-66,131.64,332 ,4,4,2,1.0,1,1
115,경기도 고양시 일산동 583-66 ,일산동,583-66,131.64,332 ,4,4,2,1.0,1,1
116,경기도 고양시 일산동 583-66 ,일산동,583-66,131.64,332 ,4,4,2,1.0,1,1
117,경기도 고양시 일산동 583-66 ,일산동,583-66,131.64,332 ,4,4,2,1.0,1,1
118,경기도 고양시 일산동 955-10 ,일산동,955-10,59.77,204 ,1,3,1,0.0,3,6
119,경기도 고양시 일산동 2147,일산동,2147,125.92,237 ,3,4,2,2.0,6,4
120,경기도 고양시 일산동 2147,일산동,2147,125.92,237 ,3,4,2,2.0,6,4
121,경기도 고양시 일산동 655-15 ,일산동,655-15,0,75 ,1,3,2,0.0,3,3
122,경기도 고양시 일산동 655-15 ,일산동,655-15,0,75 ,1,3,2,0.0,3,3
123,경기도 고양시 일산동 1694 ,일산동,1694,82.65,586 ,5,3,2,2.0,3,1
124,경기도 고양시 일산동 1694 ,일산동,1694,82.65,586 ,5,3,2,2.0,3,1
125,경기도 고양시 일산동 600-32 ,일산동,600-32,59.5,427 ,7,3,1,1.0,5,4
126,경기도 고양시 일산동 600-32 ,일산동,600-32,84.56,427 ,7,3,2,1.0,5,4
127,경기도 고양시 일산동 600-32 ,일산동,600-32,84.56,427 ,7,3,2,1.0,5,4
128,경기도 고양시 일산동 600-32 ,일산동,600-32,132.23,427 ,7,4,2,1.0,5,4
129,경기도 고양시 일산동 955-2 ,일산동,955-2,82.65,954 ,11,3,2,2.0,3,6
130,경기도 고양시 일산동 576-20 ,일산동,576-20,23.67,178 ,1,1,1,0.0,1,6
131,경기도 고양시 일산동 23-32 ,일산동,23-32,39.67,120 ,2,2,1,0.0,0,0
132,경기도 고양시 일산동 576-4 ,일산동,576-4,59.5,496 ,4,3,1,1.0,3,7
133,경기도 고양시 일산동 576-4 ,일산동,576-4,59.5,496 ,4,3,1,1.0,3,7
134,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
135,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
136,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
137,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
138,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
139,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
140,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
141,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
142,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
143,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
144,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
145,경기도 고양시 일산동 576-4 ,일산동,576-4,82.65,496 ,4,3,2,1.0,3,7
146,경기도 고양시 일산동 2125 ,일산동,2125,117.82,166 ,3,4,2,2.0,3,3
147,경기도 고양시 일산동 2125 ,일산동,2125,117.82,166 ,3,4,2,2.0,3,3
148,경기도 고양시 일산동 1945-1,일산동,1945-1,79.34,589 ,13,3,2,0.0,2,3
149,경기도 고양시 일산동 1945-1,일산동,1945-1,82.65,589 ,13,3,2,0.0,2,3
150,경기도 고양시 일산동 2120 ,일산동,2120,84.89,509 ,6,3,2,2.0,3,3
151,경기도 고양시 일산동 2120 ,일산동,2120,84.89,509 ,6,3,2,2.0,3,3
152,경기도 고양시 일산동 2120 ,일산동,2120,134.61,509 ,6,4,2,2.0,3,3
153,경기도 고양시 일산동 1655 ,일산동,1655,70.98,822 ,13,3,2,1.0,2,5
154,경기도 고양시 일산동 1687 ,일산동,1687,84.93,263 ,5,3,2,2.0,3,7
155,경기도 고양시 일산동 1997,일산동,1997,84.96,228 ,2,3,2,1.0,3,2
156,경기도 고양시 일산동 1997,일산동,1997,84.96,228 ,2,3,2,1.0,3,2
157,경기도 고양시 일산동 645 ,일산동,645,59.97,341 ,5,3,1,1.0,4,5
158,경기도 고양시 일산동 645 ,일산동,645,84.96,341 ,5,3,2,1.0,4,5
159,경기도 고양시 일산동 651-1 ,일산동,651-1,79.87,596 ,8,3,2,2.0,5,6
160,경기도 고양시 일산동 651-1 ,일산동,651-1,131.5,596 ,8,4,2,2.0,5,6
161,경기도 고양시 일산동 600 ,일산동,600,52.89,496 ,6,3,1,1.0,3,5
162,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
163,경기도 고양시 일산동 600 ,일산동,600,79.34,496 ,6,3,2,1.0,3,5
